Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Ezri Konsa,eng ENG,DF,23.0,27.5,13.0,0.47,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jacob Ramsey,eng ENG,MF,20.0,27.4,75.0,2.74,55.0,0.0,7.0,2.0,9.0,2.0,6.0,0.22,5.0,0.0,0.0,1.0,0.0,0.0,Matches
Emi Buendía,ar ARG,"MF,FW",24.0,21.1,83.0,3.93,65.0,3.0,7.0,3.0,5.0,0.0,10.0,0.47,7.0,0.0,2.0,1.0,0.0,0.0,Matches
Danny Ings,eng ENG,FW,29.0,21.1,32.0,1.52,25.0,0.0,2.0,4.0,1.0,0.0,9.0,0.43,9.0,0.0,0.0,0.0,0.0,0.0,Matches
Matt Targett,eng ENG,DF,25.0,15.9,36.0,2.26,30.0,5.0,0.0,1.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Philippe Coutinho,br BRA,"MF,FW",29.0,14.8,62.0,4.19,47.0,4.0,3.0,6.0,2.0,0.0,8.0,0.54,6.0,0.0,1.0,1.0,0.0,0.0,Matches
Lucas Digne,fr FRA,DF,28.0,14.1,53.0,3.75,37.0,14.0,1.0,0.0,1.0,0.0,8.0,0.57,5.0,2.0,0.0,0.0,1.0,0.0,Matches
Ashley Young,eng ENG,"DF,FW",36.0,13.9,31.0,2.24,20.0,6.0,2.0,1.0,2.0,0.0,4.0,0.29,2.0,1.0,1.0,0.0,0.0,0.0,Matches
Marvelous Nakamba,zw ZIM,MF,27.0,10.0,10.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Calum Chambers,eng ENG,DF,26.0,9.2,11.0,1.19,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Leon Bailey,jm JAM,"FW,MF",23.0,8.5,20.0,2.37,15.0,0.0,1.0,2.0,2.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Axel Tuanzebe,eng ENG,DF,23.0,5.6,2.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kortney Hause,eng ENG,DF,26.0,4.4,2.0,0.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anwar El Ghazi,nl NED,"FW,MF",26.0,4.3,11.0,2.56,8.0,1.0,1.0,0.0,1.0,0.0,2.0,0.47,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Morgan Sanson,fr FRA,MF,26.0,4.0,2.0,0.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",17.0,3.3,5.0,1.49,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Bertrand Traoré,bf BFA,"MF,FW",25.0,2.4,11.0,4.5,6.0,0.0,3.0,1.0,1.0,0.0,2.0,0.82,0.0,0.0,1.0,0.0,1.0,0.0,Matches
Tim Iroegbunam,eng ENG,MF,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robin Olsen,se SWE,GK,31.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Jed Steer,eng ENG,GK,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cameron Archer,eng ENG,"FW,MF",20.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Keinan Davis,eng ENG,FW,23.0,0.1,1.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Trézéguet,eg EGY,FW,26.0,0.1,1.0,8.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jaden Philogene Bidace,eng ENG,FW,19.0,0.1,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wesley Moraes,br BRA,FW,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.1,38.0,837.0,22.03,608.0,85.0,49.0,41.0,48.0,6.0,93.0,2.45,65.0,9.0,9.0,7.0,3.0,0.0,
