Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
John McGinn,sct SCO,MF,26.0,34.3,3,43,16,37.2,1.25,0.47,0.07,0.19,25.1,0.0,0,0,1.5,1.5,0.04,1.5,1.5,Matches
Ollie Watkins,eng ENG,FW,25.0,32.8,11,76,31,40.8,2.32,0.95,0.13,0.32,13.6,0.0,1,1,11.6,11.0,0.14,-0.6,-1.0,Matches
Douglas Luiz,br BRA,MF,23.0,30.2,2,23,8,34.8,0.76,0.27,0.09,0.25,25.3,8.0,0,0,2.0,2.0,0.09,0.0,0.0,Matches
Ezri Konsa,eng ENG,DF,23.0,27.5,2,15,6,40.0,0.55,0.22,0.13,0.33,8.1,0.0,0,0,1.6,1.6,0.11,0.4,0.4,Matches
Jacob Ramsey,eng ENG,MF,20.0,27.4,6,34,11,32.4,1.24,0.4,0.18,0.55,18.3,0.0,0,0,4.0,4.0,0.12,2.0,2.0,Matches
Emi Buendía,ar ARG,"MF,FW",24.0,21.1,4,44,13,29.5,2.09,0.62,0.09,0.31,17.9,0.0,0,0,3.4,3.4,0.08,0.6,0.6,Matches
Danny Ings,eng ENG,FW,29.0,21.1,7,48,17,35.4,2.28,0.81,0.13,0.35,13.6,0.0,1,1,7.1,6.3,0.13,-0.1,-0.3,Matches
Matt Targett,eng ENG,DF,25.0,15.9,1,7,2,28.6,0.44,0.13,0.14,0.5,13.5,0.0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Philippe Coutinho,br BRA,"MF,FW",29.0,14.8,5,43,16,37.2,2.91,1.08,0.12,0.31,21.2,6.0,0,0,3.8,3.8,0.09,1.2,1.2,Matches
Lucas Digne,fr FRA,DF,28.0,14.1,0,9,2,22.2,0.64,0.14,0.0,0.0,18.0,1.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Ashley Young,eng ENG,"DF,FW",36.0,13.9,0,10,3,30.0,0.72,0.22,0.0,0.0,21.2,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
