Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Mohamed Salah,eg EGY,FW,29.0,30.7,17.0,8,5.0,9.0,3.0,6.0,19.0,31.6,13.0,7.0,1.0,6.0,6,23.0,5.0,0.0,Matches
Jordan Henderson,eng ENG,MF,31.0,28.9,36.0,20,9.0,25.0,2.0,17.0,44.0,38.6,27.0,25.0,1.0,24.0,23,59.0,14.0,0.0,Matches
Andrew Robertson,sct SCO,DF,27.0,28.2,36.0,21,16.0,15.0,5.0,20.0,35.0,57.1,15.0,24.0,3.0,21.0,23,59.0,61.0,0.0,Matches
Diogo Jota,pt POR,FW,24.0,26.3,39.0,18,12.0,18.0,9.0,13.0,55.0,23.6,42.0,19.0,2.0,17.0,6,45.0,6.0,0.0,Matches
Fabinho,br BRA,MF,27.0,25.7,46.0,25,17.0,23.0,6.0,24.0,70.0,34.3,46.0,33.0,10.0,23.0,39,85.0,25.0,1.0,Matches
Thiago Alcántara,es ESP,MF,30.0,17.0,48.0,29,14.0,24.0,10.0,10.0,42.0,23.8,32.0,22.0,2.0,20.0,26,74.0,13.0,2.0,Matches
Naby Keïta,gn GUI,MF,26.0,13.0,46.0,23,17.0,19.0,10.0,26.0,42.0,61.9,16.0,33.0,2.0,31.0,14,60.0,8.0,0.0,Matches
Ibrahima Konaté,fr FRA,DF,22.0,11.0,16.0,10,9.0,6.0,1.0,7.0,10.0,70.0,3.0,13.0,9.0,4.0,16,32.0,37.0,1.0,Matches
Luis Díaz,co COL,FW,24.0,10.6,9.0,7,3.0,5.0,1.0,2.0,8.0,25.0,6.0,7.0,0.0,7.0,4,13.0,2.0,0.0,Matches
Roberto Firmino,br BRA,FW,29.0,11.0,23.0,14,5.0,8.0,10.0,3.0,16.0,18.8,13.0,20.0,0.0,20.0,4,27.0,3.0,0.0,Matches
Curtis Jones,eng ENG,MF,20.0,9.5,11.0,9,3.0,6.0,2.0,1.0,10.0,10.0,9.0,4.0,0.0,4.0,6,17.0,4.0,0.0,Matches
Kostas Tsimikas,gr GRE,DF,25.0,9.7,27.0,12,12.0,8.0,7.0,12.0,16.0,75.0,4.0,6.0,2.0,4.0,10,37.0,22.0,2.0,Matches
James Milner,eng ENG,"MF,DF",35.0,9.5,28.0,16,12.0,11.0,5.0,12.0,29.0,41.4,17.0,19.0,5.0,14.0,17,45.0,20.0,0.0,Matches
