Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Francisco Trincão,pt POR,"FW,MF",21.0,14.8,356.0,463.0,76.9,5329.0,1095.0,201.0,230.0,87.4,104.0,127.0,81.9,30.0,55.0,54.5,1,1.6,1.6,-0.6,14.0,29.0,11.0,3.0,40.0,Matches
Daniel Podence,pt POR,"FW,MF",25.0,16.5,449.0,637.0,70.5,6967.0,2148.0,248.0,302.0,82.1,121.0,184.0,65.8,49.0,78.0,62.8,3,3.9,3.2,-0.9,36.0,32.0,36.0,10.0,75.0,Matches
Adama Traoré,es ESP,"FW,MF",25.0,11.9,242.0,339.0,71.4,3655.0,663.0,126.0,158.0,79.7,79.0,109.0,72.5,21.0,31.0,67.7,0,1.4,1.4,-1.4,18.0,15.0,12.0,6.0,29.0,Matches
Jonny Castro,es ESP,DF,27.0,11.4,509.0,610.0,83.4,7860.0,2250.0,280.0,317.0,88.3,188.0,218.0,86.2,31.0,42.0,73.8,0,1.3,0.7,-1.3,11.0,20.0,7.0,4.0,35.0,Matches
Willy Boly,ci CIV,DF,30.0,10.0,468.0,558.0,83.9,8303.0,3409.0,193.0,209.0,92.3,239.0,268.0,89.2,30.0,67.0,44.8,0,0.1,0.1,-0.1,1.0,20.0,0.0,0.0,20.0,Matches
Fábio Silva,pt POR,FW,19.0,6.4,93.0,138.0,67.4,1117.0,264.0,64.0,84.0,76.2,18.0,27.0,66.7,2.0,4.0,50.0,0,0.2,0.7,-0.2,3.0,5.0,6.0,0.0,14.0,Matches
Pedro Neto,pt POR,"FW,MF",21.0,5.2,181.0,237.0,76.4,2805.0,542.0,97.0,106.0,91.5,61.0,82.0,74.4,13.0,29.0,44.8,1,1.0,0.9,0.0,13.0,4.0,4.0,2.0,10.0,Matches
Toti Gomes,pt POR,DF,22.0,4.0,153.0,203.0,75.4,2485.0,981.0,75.0,91.0,82.4,67.0,79.0,84.8,8.0,27.0,29.6,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,Matches
Ki-Jana Hoever,nl NED,"DF,MF",19.0,3.4,110.0,160.0,68.8,1691.0,512.0,54.0,71.0,76.1,51.0,68.0,75.0,4.0,8.0,50.0,0,0.1,0.1,-0.1,1.0,3.0,2.0,1.0,5.0,Matches
Luke Cundle,eng ENG,MF,19.0,2.0,96.0,105.0,91.4,1485.0,302.0,48.0,51.0,94.1,38.0,42.0,90.5,7.0,9.0,77.8,0,0.2,0.2,-0.2,2.0,11.0,2.0,0.0,9.0,Matches
